ProductID,Date,Zip,Units,Revenue,Country,Zip Country
1082,6/28/2014,R3E,1,225.6975,Canada,"Canada,R3E"
1082,12/14/2014,M6H,1,230.9475,Canada,"Canada,M6H"
1082,5/3/2015,L5T,1,230.9475,Canada,"Canada,L5T"
1082,5/14/2017,R3B,1,230.9475,Canada,"Canada,R3B"
1082,6/30/2017,T6J,1,230.9475,Canada,"Canada,T6J"
1085,12/28/2019,R3N,1,89.1975,Canada,"Canada,R3N"
1085,12/28/2019,R3X,1,89.1975,Canada,"Canada,R3X"
1085,3/24/2020,T6J,1,89.1975,Canada,"Canada,T6J"
1075,7/20/2015,R3B,1,254.5725,Canada,"Canada,R3B"
1086,8/26/2016,R3V,1,84,Canada,"Canada,R3V"
1086,10/28/2016,V6Z,2,178.395,Canada,"Canada,V6Z"
1086,11/1/2016,T6K,1,89.1975,Canada,"Canada,T6K"
1086,8/31/2018,T6N,1,86.5725,Canada,"Canada,T6N"
1086,10/29/2018,R2V,1,86.5725,Canada,"Canada,R2V"
1086,11/30/2018,T2J,1,86.5725,Canada,"Canada,T2J"
1086,12/28/2018,M4V,1,86.5725,Canada,"Canada,M4V"
1086,5/17/2019,V7W,1,86.5725,Canada,"Canada,V7W"
1086,5/31/2019,M4P,1,86.5725,Canada,"Canada,M4P"
1085,8/29/2020,T5K,1,89.1975,Canada,"Canada,T5K"
1085,12/29/2018,T2J,1,86.5725,Canada,"Canada,T2J"
1085,4/26/2019,H1B,1,86.5725,Canada,"Canada,H1B"
1085,11/14/2019,K1R,1,89.1975,Canada,"Canada,K1R"
1085,12/9/2019,R3T,1,89.1975,Canada,"Canada,R3T"
1085,12/13/2019,L5V,1,89.1975,Canada,"Canada,L5V"
1081,12/30/2017,K2P,1,230.9475,Canada,"Canada,K2P"
1086,8/29/2020,T5K,1,89.1975,Canada,"Canada,T5K"
1086,10/27/2020,V7W,1,89.1975,Canada,"Canada,V7W"
1086,12/29/2017,L5P,1,83.9475,Canada,"Canada,L5P"
1086,12/30/2017,M4E,2,167.895,Canada,"Canada,M4E"
1086,12/30/2017,R3G,1,83.9475,Canada,"Canada,R3G"
1086,1/28/2018,T6K,1,83.9475,Canada,"Canada,T6K"
1086,11/30/2018,R3H,1,86.5725,Canada,"Canada,R3H"
1086,12/16/2018,V6E,1,86.5725,Canada,"Canada,V6E"
1086,1/4/2019,R3V,1,86.5725,Canada,"Canada,R3V"
1085,5/2/2017,R3M,1,84,Canada,"Canada,R3M"
1085,5/2/2017,T6N,1,89.1975,Canada,"Canada,T6N"
1085,10/14/2017,V6G,1,89.1975,Canada,"Canada,V6G"
1085,11/24/2017,L5P,1,83.9475,Canada,"Canada,L5P"
1085,12/29/2017,M5B,1,89.1975,Canada,"Canada,M5B"
1085,12/29/2017,V6L,2,178.395,Canada,"Canada,V6L"
1085,12/30/2017,R3H,1,83.9475,Canada,"Canada,R3H"
1085,2/3/2018,T2X,1,89.1975,Canada,"Canada,T2X"
1085,3/31/2018,T6R,1,83.9475,Canada,"Canada,T6R"
1085,8/5/2018,L5J,1,86.5725,Canada,"Canada,L5J"
1086,8/3/2019,L5H,1,86.5725,Canada,"Canada,L5H"
1086,10/25/2016,R2V,1,84,Canada,"Canada,R2V"
1086,10/29/2016,L5R,1,89.1975,Canada,"Canada,L5R"
1086,11/25/2016,L5R,1,84,Canada,"Canada,L5R"
1086,11/25/2016,T6E,1,84,Canada,"Canada,T6E"
1085,12/20/2016,M6S,1,84,Canada,"Canada,M6S"
1085,12/26/2016,M5R,1,89.1975,Canada,"Canada,M5R"
1085,12/27/2016,M5S,1,89.1975,Canada,"Canada,M5S"
1085,2/3/2017,R2L,1,89.1975,Canada,"Canada,R2L"
1085,2/26/2017,R2C,1,89.1975,Canada,"Canada,R2C"
1085,7/22/2017,T6J,1,89.1975,Canada,"Canada,T6J"
1085,12/1/2017,H1G,1,83.9475,Canada,"Canada,H1G"
1085,12/23/2017,T5V,1,83.9475,Canada,"Canada,T5V"
1085,1/26/2018,T6V,1,83.9475,Canada,"Canada,T6V"
1085,1/27/2018,V7W,1,83.9475,Canada,"Canada,V7W"
1085,3/19/2018,T6G,1,83.9475,Canada,"Canada,T6G"
1085,12/27/2019,R2L,1,89.1975,Canada,"Canada,R2L"
1086,3/31/2017,R3X,1,89.1975,Canada,"Canada,R3X"
1086,12/21/2019,V5V,1,86.5725,Canada,"Canada,V5V"
1086,12/27/2019,V5X,1,89.1975,Canada,"Canada,V5X"
1086,4/21/2020,R3X,1,89.1975,Canada,"Canada,R3X"
1086,5/10/2020,T2C,1,89.1975,Canada,"Canada,T2C"
1086,8/7/2020,R2G,1,89.1975,Canada,"Canada,R2G"
1085,12/27/2015,T2J,1,84,Canada,"Canada,T2J"
1085,1/15/2016,V6T,1,84,Canada,"Canada,V6T"
1081,10/26/2019,V5W,1,230.9475,Canada,"Canada,V5W"
1082,3/15/2013,T3G,1,225.6975,Canada,"Canada,T3G"
1082,2/1/2014,M4R,1,228.3225,Canada,"Canada,M4R"
1086,11/30/2020,T2S,1,89.1975,Canada,"Canada,T2S"
1086,10/20/2018,R2V,1,86.5725,Canada,"Canada,R2V"
1086,11/29/2018,T6G,1,86.5725,Canada,"Canada,T6G"
1086,12/17/2018,T2Y,1,86.5725,Canada,"Canada,T2Y"
1086,12/27/2018,M4E,1,86.5725,Canada,"Canada,M4E"
1086,4/26/2019,H1B,1,86.5725,Canada,"Canada,H1B"
1086,9/30/2019,T2E,1,89.1975,Canada,"Canada,T2E"
1086,10/17/2019,L5N,1,89.1975,Canada,"Canada,L5N"
1076,2/22/2016,M4P,1,259.8225,Canada,"Canada,M4P"
1086,12/28/2019,V6S,1,89.1975,Canada,"Canada,V6S"
1086,12/28/2019,V6Z,1,89.1975,Canada,"Canada,V6Z"
1086,1/3/2020,V5W,1,89.1975,Canada,"Canada,V5W"
1086,3/19/2018,T6G,1,83.9475,Canada,"Canada,T6G"
1086,5/6/2018,T6E,1,83.9475,Canada,"Canada,T6E"
1086,11/3/2019,M5R,1,89.1975,Canada,"Canada,M5R"
1086,12/21/2019,V7W,1,89.1975,Canada,"Canada,V7W"
1086,12/28/2019,L5P,1,89.1975,Canada,"Canada,L5P"
1086,12/29/2019,R3K,1,89.1975,Canada,"Canada,R3K"
1086,12/29/2019,V6N,1,89.1975,Canada,"Canada,V6N"
1086,2/2/2020,T1Y,1,89.1975,Canada,"Canada,T1Y"
1086,8/5/2016,T6G,1,84,Canada,"Canada,T6G"
1086,8/26/2016,M5R,1,84,Canada,"Canada,M5R"
1085,11/30/2018,R3H,1,86.5725,Canada,"Canada,R3H"
1085,12/16/2018,V6E,1,86.5725,Canada,"Canada,V6E"
1085,12/27/2018,M4E,1,86.5725,Canada,"Canada,M4E"
1085,1/4/2019,R3V,1,86.5725,Canada,"Canada,R3V"
1086,5/20/2019,T6R,1,86.5725,Canada,"Canada,T6R"
1086,12/7/2018,R2C,1,86.5725,Canada,"Canada,R2C"
1086,12/22/2018,V6T,1,86.5725,Canada,"Canada,V6T"
1086,12/29/2018,V6B,1,86.5725,Canada,"Canada,V6B"
